"","sa1reg","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"113","20101100631",25,3,3,0,8,4,16,7,11,12
"114","20101100701",6,14,6,5,19,10,15,17,17,9
"115","20101100702",14,6,10,4,8,0,4,3,7,5
"116","20101100703",8,6,13,15,8,12,6,9,15,5
"117","20101100704",11,0,6,0,6,5,7,4,6,5
"118","20101100705",8,4,10,4,8,4,7,8,12,3
"119","20101100706",14,9,3,6,16,11,14,7,8,0
"120","20101100707",26,5,6,16,9,9,11,9,10,8
"121","20101100708",8,9,4,4,8,5,10,12,10,10
"122","20101100709",18,18,13,0,0,6,3,7,0,3
"123","20101100801",7,0,5,3,4,12,9,12,7,7
"124","20101100804",0,0,5,11,3,5,7,9,7,5
"125","20101100805",6,0,0,0,4,3,5,0,0,4
"126","20101100806",0,6,9,0,5,10,7,5,6,5
"127","20101100807",0,0,0,3,7,5,0,6,3,0
"128","20101100808",0,0,0,0,0,0,0,0,0,0
"129","20101100809",8,4,3,0,6,6,11,6,4,0
"130","20101100810",9,0,4,13,6,5,4,6,3,6
"131","20101100811",0,3,0,0,0,0,3,3,0,0
"132","20101100812",3,7,0,0,0,4,4,0,3,9
"133","20101100813",8,3,5,3,4,0,3,5,3,0
"134","20101100814",0,0,0,0,0,0,0,0,0,0
"135","20101100815",8,0,0,4,0,4,3,3,4,3
"136","20101100816",0,0,6,0,4,6,12,4,3,4
"137","20101100818",12,3,5,3,9,8,3,11,9,8
"138","20101100820",7,0,0,3,8,0,3,8,6,8
"139","20101100821",15,0,9,4,4,3,0,6,4,5
"140","20101100822",11,0,0,0,0,0,0,9,0,3
"141","20101100823",10,3,0,3,4,7,5,6,5,7
"142","20101100824",4,0,3,0,5,3,4,3,0,4
"143","20101100825",15,38,47,37,25,14,8,3,0,4
"144","20101100826",9,0,0,4,3,0,4,0,0,4
"145","20101100827",7,0,7,0,5,4,0,5,5,6
"146","20101100828",0,0,10,0,0,0,7,0,5,3
"147","20101100829",3,0,0,3,0,0,0,3,3,3
"148","20101100830",0,3,0,0,0,0,5,8,3,3
"149","20101100831",7,0,0,0,6,3,3,9,7,0
"150","20101100832",7,3,3,4,3,4,4,3,3,4
"151","20101100833",12,6,11,0,9,3,9,10,8,9
"152","20101100834",0,0,0,0,0,5,4,0,8,0
"153","20101100835",14,6,6,4,0,8,7,11,4,4
"154","20101100836",3,4,4,3,5,13,8,10,16,3
"155","20101100837",3,9,8,9,9,11,11,17,13,20
"156","20101100838",0,0,0,5,3,5,7,3,6,0
"157","20101100839",0,0,0,0,0,0,0,0,0,0
"158","20101100840",8,5,7,4,3,0,4,4,4,3
"159","20101100841",4,4,3,5,3,3,11,10,4,6
"160","20101100842",4,3,0,3,5,0,3,4,5,4
"161","20101100843",4,0,0,0,6,3,6,3,9,7
"162","20101100844",0,0,6,10,13,3,4,11,6,14
"163","20101100845",15,8,7,3,5,9,4,9,10,11
"164","20101148101",0,3,0,4,0,6,4,3,0,3
"165","20101148102",11,0,8,0,4,4,4,4,0,3
"166","20101148103",7,0,5,9,7,6,5,4,8,10
"167","20101148104",13,0,0,3,4,5,0,0,4,3
"168","20101148105",4,0,0,0,0,8,0,0,0,0
"169","20101148106",3,0,0,3,3,5,3,5,3,6
"170","20101148107",3,4,4,0,0,4,0,0,3,6
"171","20101148108",11,0,3,3,5,3,0,5,3,4
"172","20101148109",13,5,0,3,4,5,0,3,0,4
"173","20101148110",6,0,0,0,0,0,6,0,0,3
"174","20101148111",11,9,3,0,7,12,4,4,6,5
"175","20101148112",3,6,14,7,11,12,15,10,18,11
"176","20101148113",9,0,0,0,5,9,0,3,7,5
"177","20101148114",6,0,0,0,0,4,0,7,3,4
"178","20101148115",8,0,3,3,7,3,6,5,10,0
"179","20101148116",0,0,0,0,3,3,6,7,7,5
"180","20101148117",7,0,0,0,0,0,0,4,0,3
"181","20101148118",28,8,6,4,18,13,9,11,14,7
"182","20101148119",13,5,3,7,5,9,10,4,3,10
