"","sa1reg","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"2986","20601149802",14,3,3,3,0,0,0,0,3,3
"2987","20601149803",3,3,0,0,0,0,4,8,0,7
"2988","20601149804",3,0,0,5,0,5,0,3,4,6
"2989","20601149805",0,0,5,3,0,3,5,0,0,3
"2990","20601149806",18,3,6,0,9,4,4,3,4,6
"2991","20601149807",24,5,8,6,6,5,9,8,3,11
"2992","20601149808",3,0,0,0,0,0,0,0,4,7
"2993","20601149809",3,8,4,0,3,7,0,0,0,5
"2994","20601149810",7,0,0,3,3,5,3,0,3,5
"2995","20601149811",10,7,4,0,3,3,8,5,3,10
"2996","20601149812",13,3,0,0,4,3,5,5,0,7
"2997","20601149813",11,0,0,5,3,5,8,3,3,0
"2998","20601149814",11,3,5,4,5,4,9,11,9,6
"2999","20601149815",14,6,3,6,0,0,5,11,3,12
"3000","20601149816",4,4,5,4,0,11,3,8,14,4
"3001","20601149817",14,6,5,6,6,4,7,5,12,0
"3002","20601149818",7,0,7,4,3,7,3,5,11,3
"3003","20601149819",9,0,3,3,3,4,3,0,7,3
"3004","20601149820",22,8,0,3,4,4,4,0,4,7
"3005","20601149821",3,0,0,4,6,0,3,0,5,11
"3006","20601149822",15,0,5,4,7,9,8,9,5,11
"3007","20601149823",9,6,3,0,3,3,3,0,4,9
"3008","20601149824",3,3,0,3,0,3,3,10,3,5
"3009","20601149825",7,3,0,3,3,0,3,0,5,4
"3010","20601149826",19,0,3,3,10,3,7,6,5,3
"3011","20601149827",5,0,0,0,0,9,7,0,0,3
"3012","20601149828",6,9,6,0,4,7,6,8,6,7
"3013","20601149829",10,0,0,0,4,0,3,0,6,0
"3014","20601149830",14,0,4,7,6,3,4,4,3,7
"3015","20601149831",11,0,0,0,8,3,6,6,7,0
"3016","20601149832",19,0,0,7,6,9,4,12,9,0
"3017","20601149833",15,3,4,9,0,4,5,4,0,3
"3018","20601149834",4,0,5,0,7,4,8,8,4,10
"3019","20602111001",18,8,11,6,0,9,9,3,6,4
"3020","20602111002",18,4,0,3,9,5,3,4,6,3
"3021","20602111003",21,0,4,10,7,15,8,10,4,8
"3022","20602111004",7,5,8,0,5,3,0,0,4,0
"3023","20602111005",9,6,0,0,0,0,7,3,3,0
"3024","20602111006",8,4,0,8,11,12,6,10,7,4
"3025","20602111007",12,0,3,7,8,9,4,3,5,5
"3026","20602111008",19,10,6,4,7,3,5,8,4,4
"3027","20602111009",0,0,0,0,0,0,0,0,0,0
"3028","20602111010",8,3,4,3,5,3,0,3,6,6
"3029","20602111011",9,0,6,3,5,0,0,4,0,0
"3030","20602111012",22,4,8,5,5,9,7,3,8,6
"3031","20602111013",8,4,14,7,5,7,7,5,7,9
"3032","20602111014",13,0,4,3,0,5,0,3,3,0
"3033","20602111015",19,5,15,5,11,10,4,7,13,12
"3034","20602111016",19,10,10,3,12,4,4,9,12,6
"3035","20602111017",11,0,4,8,6,4,7,9,5,4
"3036","20602111018",6,3,0,4,4,3,5,5,0,3
"3037","20602111019",0,0,4,0,3,3,6,0,10,6
"3038","20602111020",0,0,0,0,0,0,0,0,0,0
"3039","20602111021",0,0,0,0,0,0,0,0,0,0
"3040","20602111022",20,0,4,4,0,5,5,4,7,9
"3041","20602111201",17,3,15,4,5,6,15,13,4,9
"3042","20602111202",14,4,3,4,3,3,8,3,3,4
"3043","20602111203",13,0,3,3,4,5,4,5,9,11
"3044","20602111204",10,4,0,0,0,4,5,5,4,0
"3045","20602111205",3,0,4,0,6,5,8,0,5,4
"3046","20602111206",0,0,3,3,3,0,3,4,7,0
"3047","20602111207",15,5,4,3,6,3,11,10,11,9
"3048","20602111208",6,0,0,0,3,0,0,4,0,0
"3049","20602111209",3,3,5,0,0,4,0,4,8,3
"3050","20602111210",5,6,0,0,4,7,3,3,0,8
"3051","20602111211",10,5,0,8,3,3,4,3,5,0
"3052","20602111212",7,0,0,0,4,0,0,0,0,0
"3053","20602111213",8,0,0,4,9,6,5,9,5,3
"3054","20602111214",11,0,9,3,0,0,5,4,4,8
"3055","20602111215",10,0,4,3,7,9,3,5,5,3
"3056","20602111216",3,3,13,6,0,3,5,4,0,5
"3057","20602111217",18,3,5,0,5,7,5,5,3,0
"3058","20602111218",11,0,0,0,0,0,5,3,0,0
"3059","20602111219",26,7,6,5,0,4,8,10,8,4
"3060","20602111220",20,3,3,0,0,5,4,4,0,7
"3061","20602111221",13,4,0,3,7,3,3,4,4,3
"3062","20602111222",3,3,0,0,4,0,9,5,3,5
"3063","20602111223",8,4,0,3,6,7,3,5,5,9
"3064","20602111224",14,0,0,0,4,4,3,7,8,3
"3065","20602111225",12,4,0,4,7,3,5,11,6,10
"3066","20602111226",14,0,3,3,4,0,0,6,7,4
"3067","20602111227",6,4,7,4,3,8,0,3,5,3
"3068","20602111228",12,4,11,0,7,4,8,11,4,7
"3069","20602111229",15,9,4,6,0,9,6,10,6,8
"3070","20602111230",13,0,9,0,9,6,10,9,7,3
"3071","20602111231",4,0,0,0,3,0,4,3,0,5
"3072","20602111232",18,4,3,0,7,8,0,9,5,8
"3073","20602111233",14,3,13,4,7,10,0,4,0,5
"3074","20602111234",7,6,0,0,0,6,0,0,3,0
"3075","20602111235",12,3,7,4,0,13,7,6,0,5
"3076","20602111236",15,0,3,7,3,7,3,0,8,5
"3077","20602111237",8,3,0,0,3,0,4,5,0,0
"3078","20602111238",3,4,10,0,0,3,6,3,4,6
"3079","20602111239",11,4,0,0,0,0,0,0,0,3
"3080","20602111240",0,0,0,0,0,0,0,0,0,0
"3081","20602111241",12,0,3,3,8,3,0,8,4,6
"3082","20602111242",9,3,0,4,0,4,4,3,0,0
"3083","20602149901",3,0,0,3,0,0,0,0,0,3
"3084","20602149902",9,0,9,4,9,3,6,0,0,3
"3085","20602149903",13,5,0,3,9,8,10,4,6,9
"3086","20602149904",3,5,3,4,11,8,4,8,7,9
"3087","20602149905",11,9,4,0,4,8,3,5,0,6
"3088","20602149906",8,0,7,0,3,0,0,0,6,5
"3089","20602149907",8,0,3,3,0,4,0,0,6,0
"3090","20602149908",16,6,6,7,5,8,13,9,8,7
"3091","20602149909",16,7,3,10,16,10,14,9,11,5
"3092","20602149910",7,8,0,7,6,9,7,4,5,0
"3093","20602149911",0,0,0,0,0,0,0,0,4,0
"3094","20602149912",8,3,4,5,7,5,5,0,3,5
"3095","20602149913",9,10,0,6,4,12,4,9,9,4
"3096","20602149914",0,0,0,0,8,4,7,6,5,5
"3097","20602149915",11,0,0,0,0,0,4,0,7,5
"3098","20602149916",13,0,0,6,3,4,5,12,5,5
"3099","20602149917",20,9,0,0,8,0,0,0,3,4
"3100","20602149918",13,8,3,5,10,3,5,10,6,5
"3101","20602149919",20,3,5,5,5,8,5,7,4,3
"3102","20602149920",25,5,3,3,9,4,5,3,4,4
"3103","20602149921",22,9,5,5,7,0,4,0,6,3
"3104","20602149922",10,12,3,0,3,6,0,4,0,0
"3105","20602149923",14,3,0,5,5,5,0,3,3,6
"3106","20602149924",3,5,0,0,8,4,7,9,3,0
"3107","20602149925",14,0,0,4,9,3,3,6,4,11
"3108","20602149926",7,0,5,0,0,9,3,6,0,4
"3109","20602149927",23,4,3,3,6,6,7,10,13,8
"3110","20602149928",10,3,0,0,5,0,0,0,0,3
"3111","20602149929",3,0,0,0,6,3,0,5,0,4
"3112","20602149930",8,8,7,3,8,3,4,0,4,8
"3113","20602149931",11,10,10,5,3,14,6,7,10,10
"3114","20602149932",11,0,9,7,8,15,9,11,8,17
"3115","20602149933",23,0,5,3,8,12,7,3,10,5
"3116","20602149934",7,0,0,0,6,0,6,4,0,6
"3117","20602150001",4,0,3,0,0,6,0,0,0,7
"3118","20602150002",9,3,3,13,10,9,4,10,9,4
"3119","20602150003",3,3,10,8,5,7,13,9,8,6
"3120","20602150004",6,0,0,3,0,0,3,0,0,3
"3121","20602150005",9,3,6,0,5,4,0,4,5,5
"3122","20602150006",3,10,7,0,0,0,0,8,3,0
"3123","20602150007",0,0,0,0,0,0,0,0,4,0
"3124","20602150008",5,5,7,5,9,9,8,10,9,3
"3125","20602150009",9,0,0,0,5,0,5,0,8,0
"3126","20602150010",3,0,4,5,6,10,3,9,9,0
"3127","20602150011",0,0,0,3,0,3,0,0,3,6
"3128","20602150012",5,4,3,0,6,0,3,10,7,3
"3129","20602150013",16,5,0,0,3,4,9,4,5,3
"3130","20602150014",6,0,5,4,3,9,0,6,0,6
"3131","20602150015",15,9,9,7,13,10,6,10,7,4
"3132","20602150016",17,3,3,10,7,5,7,6,7,9
"3133","20602150017",3,0,0,0,5,0,0,3,0,5
"3134","20602150018",13,3,13,4,3,9,3,5,5,0
"3135","20602150019",3,4,0,11,6,3,9,7,4,8
"3136","20602150020",13,7,5,9,9,3,10,8,12,10
"3137","20602150021",7,0,4,0,3,0,0,6,0,6
"3138","20602150022",0,0,0,0,0,0,0,0,0,0
"3139","20602150023",0,4,6,4,3,9,0,4,3,6
"3140","20602150024",26,18,17,3,6,13,10,9,13,8
"3141","20603111301",0,0,0,0,0,0,0,0,0,0
"3142","20603111302",17,0,0,0,0,4,0,3,5,7
"3143","20603111303",28,11,3,7,6,3,7,3,8,7
"3144","20603111304",26,8,11,5,11,16,6,9,7,5
"3145","20603111305",24,12,11,8,9,8,7,10,8,10
"3146","20603111306",32,15,6,10,4,11,8,6,5,12
"3147","20603111307",27,5,15,12,12,19,24,16,30,37
"3148","20603111308",12,0,0,3,6,8,6,9,10,6
"3149","20603111309",18,4,0,0,3,5,0,3,3,6
"3150","20603111310",5,0,5,3,0,5,5,0,5,6
"3151","20603111311",11,3,6,11,5,4,5,11,7,4
"3152","20603111312",3,0,8,0,5,0,3,5,0,5
"3153","20603111313",14,4,0,0,5,6,4,6,10,7
"3154","20603111314",4,0,0,8,5,4,3,3,3,7
"3155","20603111315",6,0,0,0,0,0,0,0,3,4
"3156","20603111316",7,0,4,0,9,3,6,0,3,3
"3157","20603111317",3,0,0,5,4,4,3,8,7,7
"3158","20603111318",4,0,4,0,3,5,0,6,0,4
"3159","20603111319",3,0,0,0,0,0,0,5,7,0
"3160","20603111320",24,3,12,4,3,0,6,3,5,0
"3161","20603111321",0,0,0,0,7,9,4,3,7,3
"3162","20603111322",0,0,6,0,5,4,0,4,0,0
"3163","20603111323",7,4,3,0,5,6,7,11,5,7
"3164","20603111324",11,9,3,3,5,7,0,3,3,3
"3165","20603111325",14,0,3,5,0,9,9,3,9,0
"3166","20603111326",15,3,6,0,5,5,3,3,0,0
"3167","20603111327",23,6,0,13,7,3,9,7,4,8
"3168","20603111328",16,3,5,0,11,5,0,8,5,9
"3169","20603111329",9,0,0,3,6,0,0,5,5,4
"3170","20603111330",15,0,6,3,0,6,0,3,5,6
"3171","20603111331",11,7,0,0,0,3,7,3,0,0
"3172","20603111332",12,4,3,0,3,8,0,5,3,4
"3173","20603111501",6,0,0,0,0,6,0,0,3,4
"3174","20603111502",11,0,4,0,0,0,5,0,0,0
"3175","20603111503",12,3,0,0,0,3,0,4,0,4
"3176","20603111504",3,0,0,0,0,0,0,0,0,5
"3177","20603111505",5,0,0,0,0,0,0,0,0,0
"3178","20603111506",8,0,0,0,4,7,0,11,9,0
"3179","20603111507",14,5,0,0,5,3,6,4,0,5
"3180","20603111508",16,9,5,0,4,4,5,5,5,0
"3181","20603111509",10,3,0,0,4,6,0,5,0,0
"3182","20603111510",0,0,4,3,0,0,0,0,0,0
"3183","20603111511",12,3,5,0,0,0,4,0,6,3
"3184","20603111513",4,0,4,0,9,0,4,0,9,0
"3185","20603111514",0,3,0,0,0,0,0,0,0,0
"3186","20603111515",11,0,4,0,10,7,3,6,9,11
"3187","20603111516",14,0,0,3,6,4,4,7,5,4
"3188","20603111518",0,0,0,0,0,0,0,0,0,0
"3189","20603111519",7,0,11,0,7,8,3,7,3,0
"3190","20603111520",11,8,7,0,4,3,5,9,11,3
"3191","20603111521",0,0,0,0,0,0,0,0,0,0
"3192","20603111522",3,0,0,0,0,0,0,0,0,0
"3193","20603111523",34,0,0,0,0,0,0,7,4,6
"3194","20603111524",14,0,0,0,0,3,0,5,0,0
"3195","20603111525",0,0,0,0,0,0,0,0,0,5
"3196","20603111526",15,0,0,0,0,0,9,3,0,0
"3197","20603111527",3,0,0,0,0,0,0,0,0,0
"3198","20603111601",22,4,8,3,3,5,5,6,4,5
"3199","20603111602",11,0,0,0,3,3,0,4,0,3
"3200","20603111603",17,6,3,6,0,7,9,5,0,7
"3201","20603111604",11,3,6,3,5,6,8,8,9,5
"3202","20603111606",15,3,7,3,12,4,6,0,7,3
"3203","20603111607",19,0,9,0,9,0,9,4,4,0
"3204","20603111608",26,3,10,4,8,9,3,7,7,9
"3205","20603111609",6,0,5,8,9,0,4,3,3,4
"3206","20603111610",7,7,0,5,9,9,6,6,6,6
"3207","20603111611",16,3,12,4,4,11,3,4,0,0
"3208","20603111612",10,7,3,4,10,10,4,7,5,4
"3209","20603111613",11,6,0,5,0,9,8,5,9,0
"3210","20603111614",15,4,0,3,10,0,5,10,0,5
"3211","20603111615",25,3,5,3,3,5,3,4,0,3
"3212","20603111616",6,3,3,0,3,3,0,3,3,4
"3213","20603111617",12,7,4,5,7,3,6,11,5,7
"3214","20603111618",22,5,5,5,5,4,10,3,6,3
"3215","20603111619",17,5,3,3,3,8,6,6,5,8
"3216","20603111620",8,0,3,0,0,0,4,3,0,5
"3217","20603111621",0,4,5,8,8,6,4,6,4,3
"3218","20603111622",12,8,3,6,3,10,7,8,8,8
"3219","20603111623",13,5,6,5,4,4,3,0,4,3
"3220","20603111624",14,9,4,6,3,0,4,4,7,3
"3221","20603111626",7,0,0,3,7,10,4,6,0,6
"3222","20603111627",10,4,4,7,7,0,11,4,0,6
"3223","20603111628",11,4,3,0,6,0,6,3,0,0
"3224","20603111629",0,0,0,0,0,0,0,0,0,0
"3225","20603111630",16,3,0,6,4,8,0,0,6,6
"3226","20603111631",26,8,7,9,14,8,12,4,3,5
"3227","20603111632",17,4,4,4,8,4,3,9,3,0
"3228","20603111633",0,0,0,0,0,0,0,0,0,0
"3229","20603111634",24,4,0,3,3,3,0,4,0,3
"3230","20603111635",9,0,0,0,0,0,0,0,0,3
"3231","20603111636",10,0,0,0,0,0,0,0,0,0
"3232","20603150101",11,0,4,0,3,9,6,4,9,3
"3233","20603150102",17,3,9,3,0,3,10,6,8,9
"3234","20603150103",25,9,8,5,13,8,5,7,10,11
"3235","20603150104",24,12,8,14,10,12,7,6,3,13
"3236","20603150105",10,4,3,8,8,3,8,0,5,0
"3237","20603150106",21,0,3,4,3,0,3,5,3,5
"3238","20603150107",12,0,3,0,0,3,6,3,3,0
"3239","20603150108",20,0,0,0,8,14,7,11,11,3
"3240","20603150109",17,10,3,6,13,0,6,4,3,3
"3241","20603150110",23,10,0,3,6,0,4,0,3,8
"3242","20603150111",19,6,8,8,11,8,9,7,7,5
"3243","20603150112",8,0,0,0,0,0,0,0,0,0
"3244","20603150113",24,9,10,12,10,9,8,7,6,7
"3245","20603150114",24,0,0,0,7,4,3,4,5,4
"3246","20603150115",8,0,0,8,6,7,5,3,3,3
"3247","20603150116",16,6,7,5,8,0,3,4,3,7
"3248","20603150117",21,5,3,3,7,3,8,6,9,3
"3249","20603150118",6,5,0,0,0,0,3,7,0,4
"3250","20603150119",0,0,0,3,4,0,0,6,8,0
"3251","20603150120",16,3,0,0,6,9,8,5,7,7
"3252","20603150121",25,9,11,6,13,23,5,12,9,0
"3253","20603150122",14,3,7,5,7,3,4,9,6,9
"3254","20603150123",17,5,3,3,7,8,6,12,9,5
"3255","20603150124",19,4,9,0,5,5,4,4,7,4
"3256","20603150125",22,3,7,0,8,4,4,8,3,6
"3257","20603150126",35,10,6,11,17,9,9,9,3,12
"3258","20603150127",18,18,3,6,9,5,9,3,3,10
"3259","20603150128",33,14,8,15,9,17,12,8,8,6
"3260","20603150129",25,6,3,8,6,12,7,0,3,6
"3261","20603150130",17,7,4,12,9,6,12,6,3,8
"3262","20603150131",25,11,11,8,4,3,4,3,7,5
"3263","20603150132",13,3,0,3,0,3,4,6,0,5
"3264","20603150133",34,10,6,8,5,7,7,4,4,4
"3265","20603150134",15,3,0,3,7,4,3,3,4,3
"3266","20603150135",28,14,8,3,6,10,7,4,3,11
"3267","20603150201",13,3,0,6,6,5,4,8,3,0
"3268","20603150202",14,0,10,6,4,6,5,0,0,0
"3269","20603150203",11,0,0,0,5,0,8,4,3,3
"3270","20603150204",8,3,0,0,0,0,6,3,6,4
"3271","20603150205",13,3,0,9,9,4,9,0,5,0
"3272","20603150206",7,0,0,0,5,4,3,3,10,6
"3273","20603150207",10,3,10,5,3,4,3,9,10,9
"3274","20603150208",24,4,0,0,12,5,0,8,7,9
"3275","20603150209",22,6,3,9,12,4,8,3,0,5
"3276","20603150210",6,0,0,3,0,3,3,7,0,0
"3277","20603150211",19,7,12,3,6,6,10,5,10,3
"3278","20603150212",0,0,0,0,0,0,5,5,4,0
"3279","20603150213",17,0,10,4,4,3,5,5,9,4
"3280","20603150214",8,0,3,5,5,9,3,3,0,3
"3281","20603150215",7,0,0,0,0,5,0,0,5,0
"3282","20603150216",29,15,5,3,0,10,0,4,3,0
"3283","20603150217",21,5,4,0,7,9,6,3,5,6
"3284","20603150218",0,0,3,5,3,4,9,4,8,7
"3285","20603150219",17,0,0,0,0,0,5,0,4,0
"3286","20603150220",16,4,6,3,7,3,16,10,7,7
"3287","20603150221",12,0,0,0,0,4,0,3,0,0
"3288","20603150222",0,7,0,4,0,0,0,0,0,0
"3289","20603150223",7,0,4,0,0,0,0,0,4,6
"3290","20603150224",8,0,4,0,9,0,3,5,0,3
"3291","20603150225",17,0,6,3,3,5,3,11,5,3
"3292","20603150226",22,0,5,0,0,0,0,0,4,4
"3293","20603150227",15,3,0,4,4,0,0,3,0,4
"3294","20603150228",14,4,0,4,3,3,0,5,4,0
"3295","20603150229",21,7,6,10,7,6,8,7,5,3
"3296","20603150230",17,12,4,0,5,7,3,4,6,0
"3297","20604111702",21,0,0,0,0,0,0,0,0,4
"3298","20604111703",4,0,0,0,0,0,3,0,0,3
"3299","20604111704",7,0,0,0,0,0,7,4,3,3
"3300","20604111705",20,0,0,0,0,0,0,0,0,4
"3301","20604111708",247,6,0,0,0,0,0,0,0,0
"3302","20604111709",32,0,0,0,0,0,0,0,0,0
"3303","20604111711",19,0,0,0,0,0,5,0,0,0
"3304","20604111712",6,0,0,0,0,0,0,0,0,0
"3305","20604111713",16,0,0,0,0,0,0,0,0,4
"3306","20604111714",22,0,0,0,4,0,0,0,0,0
"3307","20604111715",7,3,3,0,0,0,3,0,0,0
"3308","20604111716",11,0,0,0,5,0,3,0,0,0
"3309","20604111717",3,0,0,0,4,0,3,0,0,0
"3310","20604111719",43,0,0,0,0,0,0,0,0,0
"3311","20604111720",29,7,7,4,6,3,4,3,5,3
"3312","20604111721",10,0,0,0,0,0,0,0,0,0
"3313","20604111722",5,0,3,4,3,3,6,6,3,0
"3314","20604111723",12,22,0,7,12,3,12,6,8,10
"3315","20604111724",0,0,0,0,0,0,0,0,0,0
"3316","20604111725",16,0,0,0,0,0,0,0,0,4
"3317","20604111726",23,0,0,0,3,0,0,0,0,0
"3318","20604111727",25,0,0,0,0,3,0,0,0,0
"3319","20604111728",21,0,0,0,0,0,0,0,4,3
"3320","20604111729",22,0,0,0,0,0,0,6,0,0
"3321","20604111731",59,0,0,0,0,0,0,0,0,0
"3322","20604111733",57,4,0,0,0,3,0,0,0,0
"3323","20604111734",132,0,0,0,0,0,0,0,0,0
"3324","20604111735",27,0,3,0,0,0,0,0,0,0
"3325","20604111736",32,0,0,0,0,0,0,0,0,0
"3326","20604111737",250,16,0,0,0,0,0,0,0,0
"3327","20604111738",32,0,0,0,0,0,3,3,0,0
"3328","20604111739",0,0,0,0,0,0,0,0,0,0
"3329","20604111740",19,0,0,0,0,0,0,0,4,5
"3330","20604111741",45,4,0,4,0,0,0,7,7,4
"3331","20604111742",20,0,0,0,0,0,0,0,0,5
"3332","20604111743",129,7,0,0,0,0,6,0,0,0
"3333","20604111744",29,0,0,0,0,0,0,0,0,0
"3334","20604111745",27,0,0,0,0,0,0,0,6,6
"3335","20604111746",67,0,0,0,0,0,0,0,0,5
"3336","20604111747",129,3,0,0,0,0,0,0,0,0
"3337","20604111748",46,4,0,0,0,0,0,0,0,0
"3338","20604111749",30,0,0,0,0,0,0,0,0,0
"3339","20604111750",21,0,0,0,4,0,0,5,4,5
"3340","20604111801",8,0,0,0,0,0,0,0,0,0
"3341","20604111802",12,3,0,0,0,0,0,0,0,0
"3342","20604111805",4,0,0,0,0,0,0,0,3,0
"3343","20604111806",3,0,0,0,0,0,0,6,0,0
"3344","20604111807",4,0,0,0,0,0,0,0,0,0
"3345","20604111808",6,0,0,0,0,0,0,0,0,0
"3346","20604111811",0,0,0,0,0,0,0,0,0,0
"3347","20604111815",17,0,0,0,3,0,0,0,4,4
"3348","20604111816",6,0,0,0,0,0,0,0,0,0
"3349","20604111817",16,0,0,0,0,0,0,5,0,3
"3350","20604111818",4,0,0,0,0,0,0,0,0,0
"3351","20604111819",24,0,0,0,0,0,0,0,0,0
"3352","20604111820",29,0,0,0,0,0,0,0,0,0
"3353","20604111821",31,0,0,0,3,0,0,0,0,0
"3354","20604111822",6,0,0,0,3,6,0,3,4,0
"3355","20604111823",4,0,0,0,3,0,0,4,0,0
"3356","20604111824",0,0,0,0,0,0,0,0,0,3
"3357","20604111825",4,0,0,0,0,0,0,0,0,0
"3358","20604111826",6,0,6,0,0,0,0,0,0,0
"3359","20604111827",18,0,0,0,0,0,3,0,0,4
"3360","20604111828",4,0,0,0,0,0,0,3,0,0
"3361","20604111829",16,5,0,0,0,0,0,3,0,3
"3362","20604111830",14,0,3,0,3,0,0,0,0,0
"3363","20604111831",17,0,4,0,3,0,0,0,0,4
"3364","20604111832",9,0,0,0,0,0,0,0,0,0
"3365","20604111833",0,0,6,0,5,3,0,0,0,3
"3366","20604111834",38,0,0,0,0,0,0,4,0,0
"3367","20604111835",23,0,0,0,0,0,0,0,0,0
"3368","20604111836",19,0,0,0,0,0,0,3,0,0
"3369","20604111837",7,0,0,0,0,0,3,0,0,0
"3370","20604111901",0,0,0,0,0,0,0,0,0,0
"3371","20604111902",13,0,0,0,0,0,0,0,4,0
"3372","20604111903",0,7,0,4,0,0,0,0,8,0
"3373","20604111904",3,0,0,0,3,0,3,0,0,0
"3374","20604111905",7,0,0,0,0,0,0,0,0,0
"3375","20604111906",0,3,0,0,0,4,0,0,0,3
"3376","20604111907",6,0,0,0,5,5,4,0,0,0
"3377","20604111908",9,4,3,0,8,0,0,0,0,0
"3378","20604111909",0,3,0,0,0,0,3,0,0,0
"3379","20604111910",0,0,0,0,0,0,0,0,0,0
"3380","20604111911",0,0,0,0,0,0,0,3,0,0
"3381","20604111912",15,0,0,0,0,0,0,0,0,3
"3382","20604111913",0,0,0,0,0,0,0,0,0,0
"3383","20604111914",0,0,0,0,0,0,0,0,0,0
"3384","20604111915",16,0,3,0,0,0,0,0,0,4
"3385","20604112001",0,0,0,0,0,0,0,0,0,0
"3386","20604112101",0,0,0,0,0,0,0,0,0,0
"3387","20604112102",3,0,0,0,6,0,0,0,0,3
"3388","20604112103",14,4,0,7,4,4,0,0,6,0
"3389","20604112104",11,0,0,4,0,0,0,0,4,0
"3390","20604112105",10,0,3,0,0,0,4,3,0,0
"3391","20604112106",0,0,0,0,0,0,0,0,0,0
"3392","20604112108",12,0,7,3,8,3,4,4,4,5
"3393","20604112109",17,3,4,0,8,3,5,6,5,0
"3394","20604112110",16,5,0,0,3,0,3,4,0,0
"3395","20604112111",0,0,0,0,0,0,0,0,0,0
"3396","20604112112",16,0,0,3,3,0,0,6,3,3
"3397","20604112113",13,3,3,0,0,0,0,3,3,0
"3398","20604112114",9,0,3,3,0,0,0,3,3,0
"3399","20604112115",17,6,4,0,7,3,7,13,6,11
"3400","20604112116",11,3,0,0,7,5,0,4,0,4
"3401","20604112118",8,0,5,4,7,11,8,8,3,4
"3402","20604112119",31,0,6,11,9,5,4,7,3,6
"3403","20604112121",0,0,0,0,0,0,0,0,0,3
"3404","20604112122",16,0,4,8,0,4,4,0,7,7
"3405","20604112123",14,4,0,7,0,5,3,4,4,8
"3406","20604112124",10,3,3,0,12,3,4,4,9,3
"3407","20604112125",9,5,4,6,8,9,8,9,4,5
"3408","20604112126",14,4,0,0,0,5,3,0,9,0
"3409","20604112127",16,0,8,0,5,0,0,6,3,6
"3410","20604112128",11,0,5,9,8,4,3,8,5,4
"3411","20604112129",0,0,0,0,4,0,0,3,3,4
"3412","20604112401",0,0,4,0,0,0,0,0,0,0
"3413","20604112402",79,0,0,0,3,0,0,0,0,0
"3414","20604112404",15,0,0,0,0,0,0,0,0,0
"3415","20604112406",11,0,0,0,0,0,0,0,6,0
"3416","20604112407",1350,0,4,0,0,0,0,0,0,0
"3417","20604112409",22,0,0,0,0,0,0,0,0,0
"3418","20604112410",86,0,0,0,0,0,0,0,0,0
"3419","20604112411",19,0,0,0,3,3,0,4,0,0
"3420","20604112412",35,0,0,4,4,5,3,0,0,3
"3421","20604112415",3,5,7,4,3,0,3,0,0,0
"3422","20604112416",5,0,0,0,6,4,0,4,0,0
"3423","20604112417",8,3,0,5,4,0,6,0,0,0
"3424","20604112418",11,0,9,5,3,0,3,5,5,7
"3425","20604112419",28,3,0,3,3,3,0,4,0,3
"3426","20604112420",28,8,7,3,4,0,4,4,0,3
"3427","20604112421",0,0,0,0,0,0,0,0,0,0
"3428","20604112422",39,4,6,7,8,0,4,3,0,3
"3429","20604112501",15,0,0,0,0,3,0,0,0,3
"3430","20604112503",0,4,0,0,5,0,5,4,0,5
"3431","20604112504",3,0,0,0,0,0,0,0,0,0
"3432","20604112506",0,0,0,0,0,0,0,0,0,4
"3433","20604112508",3,0,0,0,0,0,0,0,0,3
"3434","20604112509",6,0,3,3,0,0,3,3,0,0
"3435","20604112510",10,0,0,0,4,0,3,3,3,0
"3436","20604112511",3,23,19,8,6,4,0,0,0,0
"3437","20604112512",12,0,0,0,3,4,0,0,0,7
"3438","20604112513",7,0,0,0,0,5,0,0,3,0
"3439","20604112514",4,0,0,0,3,0,5,0,0,7
"3440","20604112515",0,0,0,0,0,0,0,0,0,0
"3441","20604112516",0,0,0,0,0,0,5,3,4,0
"3442","20604112517",3,0,0,6,0,0,6,4,3,6
"3443","20604112518",0,4,0,0,0,0,6,4,0,0
"3444","20604112519",12,0,0,5,4,5,0,0,0,0
"3445","20604112520",4,14,18,12,11,3,3,0,0,0
"3446","20604112521",3,0,0,0,0,4,0,3,3,3
"3447","20604112522",3,0,0,0,0,0,3,0,6,0
"3448","20604112701",0,0,0,0,0,0,0,0,0,0
"3449","20604112702",0,0,0,0,0,0,0,0,0,0
"3450","20604150301",3,0,0,0,0,0,0,0,0,0
"3451","20604150302",11,0,0,0,0,0,0,0,3,3
"3452","20604150303",23,0,0,0,3,0,4,0,0,0
"3453","20604150304",3,0,0,0,0,0,5,3,0,0
"3454","20604150305",38,0,0,0,0,0,0,0,0,0
"3455","20604150306",4,0,0,0,0,0,0,3,0,4
"3456","20604150307",20,0,0,0,0,0,0,0,3,3
"3457","20604150308",0,0,0,0,0,0,0,0,0,0
"3458","20604150309",4,0,0,0,0,0,0,0,0,0
"3459","20604150310",8,0,3,0,0,4,0,0,0,4
"3460","20604150311",20,0,3,0,0,0,0,0,0,0
"3461","20604150312",17,0,0,0,0,4,0,0,0,0
"3462","20604150313",16,0,0,0,0,0,0,0,0,0
"3463","20604150314",54,0,0,0,0,0,0,0,0,0
"3464","20604150315",6,0,0,0,0,0,0,0,0,0
"3465","20604150316",73,4,0,0,0,0,0,0,0,0
"3466","20604150317",10,0,0,0,0,0,0,0,0,0
